pid,Review_Text,rid
1,Absolutely delicious! The orange flavor is my favorite.,86
1,"I bought these as a gift, and they were well received. Will definitely purchase again.",79
1,Nice variety of flavors. The chocolate is rich and smooth.,78
1,The cherry flavor is amazing. Will be buying more.,71
1,"A bit pricey, but the quality of the chocolate is worth it.",65
2,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,45
2,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",29
2,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",20
2,The cherry cola flavor is a win. Keeps me energized and focused.,6
3,The mint and citrus blend is very refreshing. And the bottle design is great too!,46
3,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",30
3,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,18
3,Unique flavor and great energy boost. It's the perfect gamer's drink!,1
4,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,47
4,"Not only does it look cool, but it tastes great and gives a good energy boost!",27
4,It's like a health potion for gamers! The energy boost is spot on.,17
4,Good flavor and keeps me energized. The bottle design is really fun.,2
5,The design is just epic! And the energy boost is real.,50
5,Perfect for long gaming nights. Love the taste and the cool bottle design.,38
5,"Finally, an energy drink for gamers! It's just like a mana potion.",31
5,Great taste and doesn't give me a crash afterwards.,22
5,Really enjoyed the citrus flavor and the energy boost it gives.,10
6,"The tropical flavor is really good, and the energy kick is powerful.",41
6,Just what I need for long gaming sessions. Great flavor and energy boost.,28
6,This potion is a game changer. Love the energy boost and the flavor.,14
6,Excellent energy drink for gamers. The tropical flavor is refreshing.,3
7,These boots are fantastic for hiking. The grip on the soles is really good.,94
7,Comfortable and sturdy. Perfect for outdoor adventures.,85
7,Good quality boots. They keep my feet dry and comfortable during long hikes.,80
7,"These boots are durable and comfortable, but they're a bit heavy.",72
7,"Great boots! The size was perfect, and they're very comfortable.",66
8,Stylish and comfortable! I love the strappy design.,96
8,"These sandals look great, but they're a bit tight. Maybe they'll stretch over time.",89
8,Absolutely love these sandals! They're so elegant and surprisingly comfortable.,84
8,"The sandals are pretty, but the heel is higher than I expected.",73
8,"Great quality for the price. The buckle closure is secure, and the heel feels sturdy.",67
9,"Great shoes for running! Comfortable and stylish, with excellent traction.",92
9,Very happy with my purchase. These shoes provide good support for my morning jogs.,87
9,"These shoes look good, but they wore out a bit faster than I expected.",81
9,"Best running shoes I've had in a while. They're really comfortable, even on long runs.",75
9,"Good shoes, but they run a little small. I'd recommend ordering a half size up.",68
10,My daughter loves these shoes! She doesn't want to take them off. They're comfortable and the lights are a big hit.,93
10,"Bought these for my son's birthday, and they were the star of the party. Great shoes!",88
10,"Cool shoes, but the lights stopped working after a few weeks.",82
10,Comfortable and fun! My child loves showing off the light-up feature to friends.,76
10,"Nice design and the lights are bright. However, they run a bit small. Order a size up.",69
11,"These shoes are not only stylish, but also super comfortable. They're perfect for any occasion!",95
11,I love the classic design of these sneakers. They match well with my outfits. The leather is of top quality.,91
11,I got the black ones and they look sleek. Got compliments on the first day I wore them out.,83
11,They're nice shoes but they felt a little tight at first. They loosened up after a few days though.,77
11,Was looking for a good pair of white sneakers and these fit the bill. Excellent quality and design.,63
12,"Love this Cat Ear Beanie! It's so cute and surprisingly warm. The material is so soft, and the cat ears are a nice touch!",90
12,"A cozy and unique beanie. Received a lot of compliments. Plus, it's cat-themed, so that's a win for me!",74
12,"Great beanie, but I wish there were more colors available. The cat ears design is really nice.",70
12,"I bought this for my daughter, and she adores it! It's become her favorite winter accessory.",56
12,A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.,55
13,Absolutely delicious! The orange flavor is my favorite.,86
13,"I bought these as a gift, and they were well received. Will definitely purchase again.",79
13,Nice variety of flavors. The chocolate is rich and smooth.,78
13,The cherry flavor is amazing. Will be buying more.,71
13,"A bit pricey, but the quality of the chocolate is worth it.",65
14,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,45
14,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",29
14,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",20
14,The cherry cola flavor is a win. Keeps me energized and focused.,6
15,The mint and citrus blend is very refreshing. And the bottle design is great too!,46
15,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",30
15,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,18
15,Unique flavor and great energy boost. It's the perfect gamer's drink!,1
16,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,47
16,"Not only does it look cool, but it tastes great and gives a good energy boost!",27
16,It's like a health potion for gamers! The energy boost is spot on.,17
16,Good flavor and keeps me energized. The bottle design is really fun.,2
17,The design is just epic! And the energy boost is real.,50
17,Perfect for long gaming nights. Love the taste and the cool bottle design.,38
17,"Finally, an energy drink for gamers! It's just like a mana potion.",31
17,Great taste and doesn't give me a crash afterwards.,22
17,Really enjoyed the citrus flavor and the energy boost it gives.,10
18,"The tropical flavor is really good, and the energy kick is powerful.",41
18,Just what I need for long gaming sessions. Great flavor and energy boost.,28
18,This potion is a game changer. Love the energy boost and the flavor.,14
18,Excellent energy drink for gamers. The tropical flavor is refreshing.,3
19,These boots are fantastic for hiking. The grip on the soles is really good.,94
19,Comfortable and sturdy. Perfect for outdoor adventures.,85
19,Good quality boots. They keep my feet dry and comfortable during long hikes.,80
19,"These boots are durable and comfortable, but they're a bit heavy.",72
19,"Great boots! The size was perfect, and they're very comfortable.",66
20,Stylish and comfortable! I love the strappy design.,96
20,"These sandals look great, but they're a bit tight. Maybe they'll stretch over time.",89
20,Absolutely love these sandals! They're so elegant and surprisingly comfortable.,84
20,"The sandals are pretty, but the heel is higher than I expected.",73
20,"Great quality for the price. The buckle closure is secure, and the heel feels sturdy.",67
21,"Great shoes for running! Comfortable and stylish, with excellent traction.",92
21,Very happy with my purchase. These shoes provide good support for my morning jogs.,87
21,"These shoes look good, but they wore out a bit faster than I expected.",81
21,"Best running shoes I've had in a while. They're really comfortable, even on long runs.",75
21,"Good shoes, but they run a little small. I'd recommend ordering a half size up.",68
22,My daughter loves these shoes! She doesn't want to take them off. They're comfortable and the lights are a big hit.,93
22,"Bought these for my son's birthday, and they were the star of the party. Great shoes!",88
22,"Cool shoes, but the lights stopped working after a few weeks.",82
22,Comfortable and fun! My child loves showing off the light-up feature to friends.,76
22,"Nice design and the lights are bright. However, they run a bit small. Order a size up.",69
23,"These shoes are not only stylish, but also super comfortable. They're perfect for any occasion!",95
23,I love the classic design of these sneakers. They match well with my outfits. The leather is of top quality.,91
23,I got the black ones and they look sleek. Got compliments on the first day I wore them out.,83
23,They're nice shoes but they felt a little tight at first. They loosened up after a few days though.,77
23,Was looking for a good pair of white sneakers and these fit the bill. Excellent quality and design.,63
24,"Love this Cat Ear Beanie! It's so cute and surprisingly warm. The material is so soft, and the cat ears are a nice touch!",90
24,"A cozy and unique beanie. Received a lot of compliments. Plus, it's cat-themed, so that's a win for me!",74
24,"Great beanie, but I wish there were more colors available. The cat ears design is really nice.",70
24,"I bought this for my daughter, and she adores it! It's become her favorite winter accessory.",56
24,A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.,55
25,Absolutely delicious! The orange flavor is my favorite.,86
25,"I bought these as a gift, and they were well received. Will definitely purchase again.",79
25,Nice variety of flavors. The chocolate is rich and smooth.,78
25,The cherry flavor is amazing. Will be buying more.,71
25,"A bit pricey, but the quality of the chocolate is worth it.",65
